"t_IDs" "AKN" "ALPHAT" "ALD" "ALMAVE" "AGREF" "AGRE1" "AGRE2" "RAUTEFR" "RQLCR" "RAUTEFS" "RQICRMIN" "RQICRMAX" "RQICRT1" "TFVL" "TFVI" "TFVR" "TFVS" "RDTFAC" "RACCEF" "RRIMEF" "RAGGEF" "REVASX" "RNINTR" "RNINTS" "RKDN" "RKDX" "TENTR" "TENTRX" "VVN" "VVX" "ALFX" "REFLCAPE" "FNEBC" "GCVRE" "GREDDL" "GREDDI" "GREDDR" "GREDDS" "GCVTURB" "ECMNP" "GAMAP1" "FENTRT" "FEVAPC" "RREVASXCS" "RLWINHF_ICE" "RLWINHF_LIQ" "RSWINHF_ICE" "RSWINHF_LIQ" "GWDAMP" "GWDBC" "GWDCD" "GWDLT" "GWDSE" "GWDPROF" "GWDVALI" "HOBST"
"GCM_6-011" 0.130815386772156 2.9973611831665 1.84224820137024 29.2555599212646 -0.353399604558945 1.04046356678009 8.00318908691406 0.00134078832343221 2.2103731680545e-05 0.00448593916371465 6.64845778430846e-09 4.12500958191231e-05 -76.0934982299805 0.085044302046299 0.126683160662651 3.77453064918518 1.20585203170776 1.67730391025543 1.9244658946991 1.12537169456482 0.394483327865601 2.67680320575892e-07 39640848 397155.28125 3.73282746295445e-05 0.000274133170023561 8.62701563164592e-06 0.000115555645606946 -2.62360215187073 -29.9871234893799 0.0397182069718838 8.21234130859375 14.1532802581787 0.819885194301605 0.568223416805267 0.504050374031067 0.201913148164749 0.259607493877411 1.32913032757642e-06 2654.95068359375 1.60957992076874 0.643058121204376 2.38730239868164 0.332151591777802 0.998302519321442 0.985396265983582 0.672925174236298 0.7314333319664 0.294889032840729 3.94259214401245 7.82306432723999 1.95620346069336 0.00395977264270186 0.42020109295845 0.336397379636765 1.79313921928406
"GCM_6-012" 0.118397913873196 2.39555382728577 0.887671828269958 16.9149780273438 -0.183166816830635 0.218511551618576 4.72566318511963 0.000451036758022383 3.11655276163947e-05 0.00289914826862514 1.31562796212847e-08 1.39098858653597e-06 -67.571174621582 0.0850957855582237 0.133527159690857 3.15089225769043 2.5613808631897 1.81456243991852 1.0053459405899 0.618113160133362 0.424895912408829 1.49101531121687e-08 9673411.99999999 499454.6875 3.99415439460427e-05 0.000336741795763373 7.72703970142175e-06 9.97774113784544e-05 -1.1803719997406 -47.7656135559082 0.0464356429874897 3.68019199371338 13.4592361450195 0.501210689544678 0.343083083629608 0.746175289154053 0.417254835367203 0.844362556934357 1.61203558945999e-06 9217.83203125 1.32022738456726 2.76131510734558 5.4936146736145 0.119291558861732 0.819834649562836 0.984811723232269 0.667124092578888 0.601780295372009 0.43263441324234 0.515288710594177 4.66631507873535 1.02712035179138 0.000173540945979767 0.026860361918807 0.617766439914703 3.12638092041016
"GCM_6-013" 0.133332446217537 1.43041336536407 1.89387369155884 16.7781677246094 -0.123770624399185 0.142584547400474 1.37773549556732 0.000746264879126102 0.000123383346362971 0.00089592463336885 5.47255680771741e-08 4.75164688396035e-06 -65.5047378540039 0.0871714726090431 0.144928216934204 4.93435668945312 0.21270726621151 2.52525854110718 0.682838201522827 1.64243161678314 1.74148774147034 4.79596486968603e-08 10256599 144199.40625 3.14139615511522e-05 0.000222472517634742 3.58388706445112e-06 7.92986757005565e-05 -1.94350397586823 -46.4742317199707 0.0318434201180935 5.30186080932617 12.3211460113525 0.821469724178314 0.834478080272675 0.519756317138672 0.506681740283966 0.256952822208405 3.62053506250959e-05 7337.72509765625 1.50429558753967 2.75155711174011 7.35261726379395 0.379838317632675 0.733611941337585 0.690494954586029 0.776808679103851 0.73824006319046 0.636449456214905 2.99987626075745 2.37680840492249 1.01245439052582 0.00693009793758392 0.797714948654175 0.00884945038706064 1.61190259456635
"GCM_6-014" 0.0862434729933739 1.92446672916412 2.56866908073425 21.74560546875 -0.0211604684591293 0.30706399679184 2.96460914611816 0.000455954053904861 0.000154839974129572 0.00504210451617837 1.45309726917731e-07 4.27294344262918e-06 -50.5096778869629 0.0132250264286995 0.00531365117058158 4.0831184387207 0.759802103042602 2.67200398445129 1.38576984405518 1.10922539234161 0.156998932361603 3.8339436514434e-08 3045449 2728314.75 3.62872742698528e-05 0.000507637218106538 4.09462973038899e-06 4.54692417406477e-05 -1.00327813625336 -49.9896850585938 0.0513536855578423 4.26711320877075 9.46077060699463 0.770979106426239 0.970319926738739 0.138425633311272 0.154214352369308 0.422019362449646 6.97228097124025e-05 1720.56628417969 1.55465412139893 1.90176284313202 6.99025440216064 0.779465615749359 0.805238366127014 0.810323238372803 0.9946568608284 0.544866621494293 0.893593311309814 2.74757218360901 6.75477647781372 1.64478933811188 0.000212390470551327 0.292021095752716 0.817313134670258 1.27366137504578
"GCM_6-015" 0.144734293222427 2.45069527626038 2.2891960144043 27.0263576507568 -0.430754780769348 0.0474048331379889 4.58973360061646 0.000847256393171847 2.86819304164965e-05 0.00391032360494137 5.06917558595888e-07 2.0793022486032e-06 -72.6236877441406 0.0118811102584004 0.0562487989664078 3.36583518981934 0.696342408657074 2.95192456245422 0.259474545717239 0.590190589427948 1.03769207000732 1.04637763342907e-07 8375647 1118303.625 3.80018464056775e-05 0.000156819587573409 7.26601092537749e-06 6.74322291160934e-05 -3.51103901863098 -49.7984962463379 0.0362615808844566 7.69882965087891 5.81622886657715 0.337038069963455 0.681728005409241 0.159165784716606 0.982480823993683 0.503602623939514 2.41757279582089e-05 4690.99951171875 1.27656805515289 2.82685565948486 8.11598777770996 0.237267196178436 0.939376294612885 0.630146205425262 0.934404492378235 0.852643609046936 0.499656230211258 1.2058926820755 3.14479041099548 1.25375366210938 0.00626358995214105 0.317055284976959 0.704807102680206 3.58246469497681
"GCM_6-016" 0.135621950030327 2.19439387321472 0.953865528106689 20.582405090332 -0.249761044979095 4.39613151550293 5.97151613235474 0.000748194172047079 4.86508033645805e-05 0.00117217877414078 2.11880823997035e-09 2.20922311200411e-06 -60.306568145752 0.0838401690125465 0.172745391726494 4.33508586883545 2.44864106178284 2.04088258743286 0.120839618146419 1.05428218841553 1.64641141891479 2.23720334702193e-07 2714631.5 325297.125 4.52366693934891e-05 0.000244110997300595 4.69317456008866e-06 4.52281492471229e-05 -3.71093964576721 -32.0781555175781 0.0252921357750893 7.56764888763428 9.06861114501953 0.881962776184082 0.0180938187986612 0.926036715507507 0.618069529533386 0.318062841892242 1.71054932707193e-06 1980.52026367188 1.17432641983032 0.64244669675827 3.49846410751343 0.813358664512634 0.981159687042236 0.718452334403992 0.748411178588867 0.586346924304962 0.125924065709114 1.20999228954315 4.86719703674316 0.254511415958405 0.00110803730785847 0.00426666159182787 0.450749933719635 1.17684006690979
"GCM_6-017" 0.10457793623209 1.47665357589722 2.15760231018066 3.4758734703064 -0.211315721273422 1.9824126958847 9.76646137237549 0.00146341940853745 7.89735786383972e-05 0.0053322659805417 5.17483897510828e-07 8.07802189228824e-06 -86.2613372802734 0.0194789040833712 0.0854667276144028 4.78011083602905 0.594516694545746 1.86425769329071 1.02841806411743 0.790731966495514 0.914963245391846 2.50806579060736e-07 2520437.25 4354219 6.58623466733843e-05 0.000456134817795828 3.10608425024839e-06 8.49131829454564e-05 -1.82209396362305 -26.408540725708 0.0473017953336239 7.1538519859314 12.4703388214111 0.937761902809143 0.719146549701691 0.372430682182312 0.968337833881378 0.906623542308807 2.84743564407109e-05 9134.224609375 1.52902019023895 2.60022521018982 9.65455913543701 0.322263300418854 0.975137829780579 0.587074995040894 0.595690846443176 0.603119671344757 0.309348106384277 1.17663359642029 5.93951416015625 0.938551187515259 0.00152346631512046 0.508529245853424 0.669158339500427 4.26998376846313
"GCM_6-018" 0.168776541948318 2.48583149909973 0.883598208427429 10.8069305419922 -0.249272063374519 0.157590329647064 7.69297790527344 0.0087732458487153 0.000104696242487989 0.00188963918481022 7.32105975842501e-09 2.26112570089754e-05 -57.2867469787598 0.171343937516212 0.176548898220062 6.04279088973999 0.541836559772491 2.07760953903198 1.32897055149078 1.24311029911041 0.822095692157745 3.20547890453327e-08 4294633.5 1811718 3.65683736163191e-05 0.000467678299173713 7.95664891484194e-06 3.92266701965127e-05 -3.72322225570679 -30.3840427398682 0.027082460001111 4.60288763046265 6.65792226791382 0.89020973443985 0.489725172519684 0.845245361328125 0.780375480651855 0.874114811420441 5.86487476539332e-06 1975.46411132812 1.36799132823944 0.619624257087708 6.4186487197876 0.755952477455139 0.817673563957214 0.998836040496826 0.855233311653137 0.582930386066437 0.0685445070266724 0.757723808288574 7.16925048828125 0.509918332099915 0.00151693797670305 0.392721474170685 0.828128218650818 3.1431450843811
"GCM_6-019" 0.129728406667709 2.81342601776123 1.23176920413971 27.6952476501465 -0.490563869476318 2.2761869430542 4.84122037887573 0.0015970494132489 6.14416348980739e-05 0.000350470450939611 3.71520556541327e-08 1.95303277905623e-06 -79.5896453857422 0.10272928327322 0.180962279438972 5.82757139205933 0.228627935051918 0.992583334445953 0.454907655715942 1.15389096736908 0.81501829624176 9.92503643715281e-08 70333768 1935375.25 3.47050445270725e-05 0.000392725458368659 7.45383658795618e-06 9.13629919523373e-05 -4.30582189559937 -49.9679260253906 0.0788136646151543 3.63857388496399 17.329662322998 0.808941185474396 0.468027681112289 0.589906454086304 0.411774933338165 0.825730085372925 4.15133263231837e-06 2490.69091796875 1.64450335502625 2.06309747695923 3.24251818656921 0.092950701713562 0.789646804332733 0.894926130771637 0.697522461414337 0.938127815723419 0.181959837675095 3.95429658889771 4.38074827194214 0.943896889686584 0.000132607296109199 0.500678718090057 0.897505640983582 2.97326421737671
"GCM_6-020" 0.257659494876862 2.16127061843872 0.633014440536499 22.3054294586182 -0.0825790241360664 5.43445110321045 7.78533458709717 0.00471651880070567 0.000174767468706705 0.00282658659853041 1.9204593471045e-09 5.51372359041125e-05 -64.188850402832 0.0523875318467617 0.0972585827112198 3.19777297973633 0.906743168830872 1.65091061592102 0.907349765300751 0.502456486225128 0.632770299911499 1.42940109526535e-07 44978188 1189246.75 4.8935031372821e-05 0.000349683919921517 3.76547086489154e-06 0.000112844776595011 -1.15599071979523 -41.3541641235352 0.0477696135640144 3.86311149597168 14.0466966629028 0.230238288640976 0.0550225935876369 0.791709899902344 0.278309494256973 0.47100305557251 2.34387812270143e-06 1904.376953125 1.35317695140839 0.562902629375458 3.70146322250366 0.835448145866394 0.927813410758972 0.514837741851807 0.753024160861969 0.859487116336823 0.829087138175964 2.17783117294312 4.32260417938232 1.22769725322723 0.000301422405755147 0.459710597991943 0.830701053142548 1.43315708637238
